job_id,registration_nr_full,address_final,samatos_pavadinimas,contractor,work_type,qty_extracted,unit,cost_be_pvm_eur,unit_price
161,V25-0004376-2,Liepų g. 52,Nuotekų stovo keitimas (skersmuo 100 mm.),"Noske, UAB_21",SEWER,2.0,m,257.02,128.51
162,V25-0004376-2,Liepų g. 52,Nuotekų stovo keitimas (skersmuo 100 mm.),"Noske, UAB_21",SEWER,2.0,m,257.02,128.51
163,V25-0079922-1,Sulupės g. 18,Karšto vandens vamzdyno atkarpos keitimas rūsyje,"Noske, UAB_21",PIPE,1.0,vnt,319.09,319.09
164,V25-0004376-2,Liepų g. 52,Nuotekų stovo keitimas (skersmuo 100 mm.),"Noske, UAB_21",SEWER,2.0,m,257.02,128.51
165,V25-0000315-6,Darželio g. 8,"Nuotekų vamzdyno jungčių remontas, rūsio valymas","Noske, UAB_21",SEWER,12.0,m,59.09,4.924166666666667
166,V25-0043407-2,Kauno g. 23,"Bendro naudojimo karšto vandens cirkuliacinio stovo atkarpos keitimas, 1-a laiptinė","Noske, UAB_21",PIPE_STACK,1.0,vnt,235.18,235.18
167,V25-0017109-10,Poilsio g. 16,Išorinių sienų tarpblokinių siūlių remontas,"Mano Būstas Baltija, UAB",FACADE_SEAM,7.0,m,380.0,54.285714285714285
168,V25-0005671-7,Minijos g. 157,Fasado atskirų vietų remontas,MB Komandax #PRO_21,PIPE_STACK,4.0,m,145.95,36.4875
169,V25-0005671-7,Minijos g. 157,Fasado atskirų vietų remontas,MB Komandax #PRO_21,PIPE_STACK,4.0,m,145.95,36.4875
170,V25-0022753-4,Poilsio g. 12,Balkono valymas,"Komandax, MB_21",PIPE,2.0,m2,238.0,119.0
171,V25-0065401,Minijos g. 131,"Pavienių čerpių keitimas, montavimas, kraiginių čerpių tvirtinimas cementiniu mišiniu","Mano Būstas Baltija, UAB",ROOF,6.0,vnt,200.7,33.449999999999996
172,V25-0065401,Minijos g. 131,"Pavienių čerpių keitimas, montavimas, kraiginių čerpių tvirtinimas cementiniu mišiniu","Mano Būstas Baltija, UAB",ROOF,6.0,vnt,200.7,33.449999999999996
173,V25-0070028-1,Žalgirio g. 3,Nuotekų stovo keitimas (skersmuo 100 mm.),"Ediminis, IĮ_0",SEWER,1.5,m,273.05,182.03333333333333
174,V25-0051366-2,Minijos g. 139,Nuotekų vamzdynų diagnostika su vaizdo kamera,"Biostera, MB_21",SEWER,1.0,m,312.0,312.0
